TrackerModel,Age,Gender,EducationYears,MaritalStatus,DailySteps,FitnessRating,AnnualIncome,WorkoutHoursWeekly,ResidenceArea,DeviceUsageHours
Basic,64,Male,12.0,Single,1042,5,187567,3.8,Urban,1.11
Pro,29,Female,16.0,Married,10129,2,33703,4.1,Urban,2.75
Advanced,33,Male,14.0,Single,2815,3,181887,1.93,Urban,2.39
Advanced,41,Male,14.0,Single,12010,3,180637,4.91,Urban,1.76
Basic,36,Female,14.0,Divorced,6509,3,137491,7.67,Urban,2.62
Basic,25,Female,12.0,Single,6864,1,78453,1.48,Rural,1.87
Basic,48,Male,14.0,Married,5616,3,108478,2.82,Urban,1.77
Pro,38,Female,12.0,Single,6635,1,53161,3.96,Urban,2.24
Advanced,34,Female,14.0,Married,11755,3,134296,5.07,Urban,1.47
Advanced,40,Female,10.0,Single,1000,3,160788,2.38,Suburban,2.51
Basic,54,Male,12.0,Single,11330,2,53349,0.0,Urban,1.47
Pro,33,Male,16.0,Single,8514,4,67098,6.22,Rural,1.47
Pro,23,Female,12.0,Single,3878,1,128435,5.02,Rural,1.55
Basic,25,Female,16.0,Single,4274,4,151204,0.01,Urban,2.38
Basic,42,Female,12.0,Married,12529,2,71990,2.28,Urban,1.69
Basic,35,Male,14.0,Married,4663,2,88921,6.64,Urban,1.33
Basic,42,Male,14.0,Married,4039,1,187610,6.4,Suburban,1.7
Advanced,29,Female,14.0,Married,10911,5,120572,5.38,Urban,1.98
Advanced,32,Female,12.0,Single,8515,1,27213,3.15,Urban,1.41
Basic,43,Female,12.0,Single,4686,1,144693,3.67,Urban,1.42
Advanced,58,Female,10.0,Single,8149,2,195295,3.24,Suburban,3.06
Basic,62,Female,12.0,Single,4422,3,111655,5.76,Urban,1.57
Basic,43,Female,14.0,Married,10802,3,88371,1.75,Urban,1.84
Basic,64,Male,18.0,Married,10684,1,88274,1.89,Suburban,1.82
Advanced,49,Female,16.0,Single,9096,2,127853,3.47,Suburban,1.79
Advanced,27,Male,16.0,Single,8584,2,24134,3.41,Rural,2.31
Basic,33,Female,16.0,Married,12783,2,111428,6.26,Urban,2.47
Advanced,24,Female,14.0,Married,7499,2,59601,2.16,Suburban,1.85
Advanced,34,Male,12.0,Single,3954,3,93889,3.39,Suburban,1.38
Basic,40,Male,18.0,Divorced,8848,2,35690,1.66,Urban,2.64
